date,nbs_manufacturing_pmi,non_manufacturing_pmi,nbs_general_pmi
2013-01-01,50.4,56.2,
2013-02-01,50.1,54.5,
2013-03-01,50.9,55.6,
2013-04-01,50.6,54.5,
2013-05-01,50.8,54.3,
2013-06-01,50.1,53.9,
2013-07-01,50.3,54.1,
2013-08-01,51,53.9,
2013-09-01,51.1,55.4,
2013-10-01,51.4,56.3,
2013-11-01,51.4,56,
2013-12-01,51,54.6,
2014-01-01,50.5,53.4,
2014-02-01,50.2,55,
2014-03-01,50.3,54.5,
2014-04-01,50.4,54.8,
2014-05-01,50.8,55.5,
2014-06-01,51,55,
2014-07-01,51.7,54.2,
2014-08-01,51.1,54.4,
2014-09-01,51.1,54,
2014-10-01,50.8,53.8,
2014-11-01,50.3,53.9,
2014-12-01,50.1,54.1,
2015-01-01,49.8,53.7,
2015-02-01,49.9,53.9,
2015-03-01,50.1,53.7,
2015-04-01,50.1,53.4,
2015-05-01,50.2,53.2,
2015-06-01,50.2,53.8,
2015-07-01,50.2,53.9,
2015-08-01,49.7,53.4,
2015-09-01,49.8,53.4,
2015-10-01,49.8,53.1,
2015-11-01,49.6,53.6,
2015-12-01,49.7,54.4,
2016-01-01,49.4,53.5,
2016-02-01,49,52.7,
2016-03-01,50.2,53.8,
2016-04-01,50.1,53.5,
2016-05-01,50.1,53.1,
2016-06-01,50,53.7,
2016-07-01,49.9,53.9,
2016-08-01,50.4,53.5,
2016-09-01,50.4,53.7,
2016-10-01,51.2,54,
2016-11-01,51.7,54.7,
2016-12-01,51.4,54.5,
2017-01-01,51.3,54.6,54
2017-02-01,51.6,54.2,54
2017-03-01,51.8,55.1,54.7
2017-04-01,51.2,54,53.9
2017-05-01,51.2,54.5,54.1
2017-06-01,51.7,54.9,54.7
2017-07-01,51.4,54.5,54.1
2017-08-01,51.7,53.4,53.7
2017-09-01,52.4,55.4,55.1
2017-10-01,51.6,54.3,53.9
2017-11-01,51.8,54.8,54.6
2017-12-01,51.6,55,54.6
2018-01-01,51.3,55.3,54.6
2018-02-01,50.3,54.4,52.9
2018-03-01,51.5,54.6,54
2018-04-01,51.4,54.8,54.1
2018-05-01,51.9,54.9,54.6
2018-06-01,51.5,55,54.4
2018-07-01,51.2,54,53.6
2018-08-01,51.3,54.2,53.8
2018-09-01,50.8,54.9,54.1
2018-10-01,50.2,53.9,53.1
2018-11-01,50,53.4,52.8
2018-12-01,49.4,53.8,52.6
2019-01-01,49.5,54.7,53.2
2019-02-01,49.2,54.3,52.4
2019-03-01,50.5,54.8,54
2019-04-01,50.1,54.3,53.4
2019-05-01,49.4,54.3,53.3
2019-06-01,49.4,54.2,53
2019-07-01,49.7,53.7,53.1
2019-08-01,49.5,53.8,53
2019-09-01,49.8,53.7,53.1
2019-10-01,49.3,52.8,52
2019-11-01,50.2,54.4,53.7
2019-12-01,50.2,53.5,53.4
2020-01-01,50,54.1,53
2020-02-01,35.7,29.6,28.9
2020-03-01,52,52.3,52.3
2020-04-01,50.8,53.2,53.4
2020-05-01,50.6,53.6,53.4
2020-06-01,50.9,54.4,54.2
2020-07-01,51.1,54.2,54.1
2020-08-01,51,55.2,54.5
2020-09-01,51.5,55.9,55.1
2020-10-01,51.4,56.2,55.3
2020-11-01,52.1,56.4,55.7
2020-12-01,51.9,55.7,55.1
2021-01-01,51.3,52.4,52.8
2021-02-01,50.6,51.4,51.6
2021-03-01,51.9,56.3,55.3
2021-04-01,51.1,54.9,53.8
2021-05-01,51,55.2,54.2
2021-06-01,50.9,53.5,52.9
2021-07-01,50.4,53.3,52.4
2021-08-01,50.1,47.5,48.9
2021-09-01,49.6,53.2,51.7
2021-10-01,49.2,52.4,50.8
2021-11-01,50.1,52.3,52.2
2021-12-01,50.3,52.7,52.2
2022-01-01,50.1,51.1,51
2022-02-01,50.2,51.6,51.2
2022-03-01,49.5,48.4,48.8
2022-04-01,47.4,41.9,42.7
2022-05-01,49.6,47.8,48.4
2022-06-01,50.2,54.7,54.1
2022-07-01,49,53.8,52.5
2022-08-01,49.4,52.6,51.7
2022-09-01,50.1,50.6,50.9
2022-10-01,49.2,48.7,49
2022-11-01,48,46.7,47.1
2022-12-01,47,41.6,42.6
2023-01-01,50.1,54.4,52.9
2023-02-01,52.6,56.3,56.4
2023-03-01,51.9,58.2,57
2023-04-01,49.2,56.4,54.4
2023-05-01,48.8,54.5,52.9
2023-06-01,49,53.2,52.3
2023-07-01,49.3,51.5,51.1
2023-08-01,49.7,51,51.3
2023-09-01,50.2,51.7,52
2023-10-01,49.5,50.6,50.7
2023-11-01,49.4,50.2,50.4
2023-12-01,49,50.4,50.3
2024-01-01,49.2,50.7,50.9
2024-02-01,49.1,51.4,50.9
2024-03-01,50.8,53,52.7
2024-04-01,50.4,51.2,51.7
