series,year,jan_10k_ton,feb_10k_ton,janfeb_total_10k_ton,jan_share,feb_share,source
crude_output_ton,2000,1377.91,1299.7,2677.61,0.514604,0.485396,AskCI/NBS monthly output table
crude_output_ton,2001,1375.31,1276.48,2651.79,0.518635,0.481365,AskCI/NBS monthly output table
crude_output_ton,2002,1413.48,1277.05,2690.53,0.525354,0.474646,AskCI/NBS monthly output table
crude_output_ton,2003,1436.36,1311.6,2747.96,0.522700,0.477300,AskCI/NBS monthly output table
crude_output_ton,2004,1461.09,1379.96,2841.05,0.514278,0.485722,AskCI/NBS monthly output table
crude_output_ton,2005,1514.95,1381.41,2896.36,0.523053,0.476947,AskCI/NBS monthly output table
crude_output_ton,2006,1567.99,1404.69,2972.68,0.527467,0.472533,AskCI/NBS monthly output table
crude_output_ton,2007,1609.44,1434.09,3043.53,0.528807,0.471193,AskCI/NBS monthly output table
crude_output_ton,2008,1589.82,1488.45,3078.27,0.516465,0.483535,AskCI/NBS monthly output table
crude_output_ton,2009,1594.7,1431.83,3026.53,0.526907,0.473093,AskCI/NBS monthly output table
crude_output_ton,2010,1686.8,1511.3,3198.1,0.527438,0.472562,AskCI/NBS monthly output table
crude_output_ton,2011,1781.6,1590.6,3372.2,0.528320,0.471680,AskCI/NBS monthly output table
crude_output_ton,2012,1736.3,1632.5,3368.8,0.515406,0.484594,AskCI/NBS monthly output table
crude_output_ton,2014,1758.42,1611.4,3369.82,0.521814,0.478186,AskCI/NBS monthly output table
crude_output_ton,2015,1797.16,1617.88,3415.04,0.526249,0.473751,AskCI/NBS monthly output table
crude_processing_ton,2001,1615.66,1575.81,3191.47,0.506243,0.493757,AskCI/NBS monthly output table
crude_processing_ton,2002,1716.85,1611.95,3328.8,0.515756,0.484244,AskCI/NBS monthly output table
crude_processing_ton,2003,1930.93,1844.85,3775.78,0.511399,0.488601,AskCI/NBS monthly output table
crude_processing_ton,2004,2252.47,2202.86,4455.33,0.505567,0.494433,AskCI/NBS monthly output table
crude_processing_ton,2005,2495.26,2227.57,4722.83,0.528340,0.471660,AskCI/NBS monthly output table
crude_processing_ton,2006,2482.47,2365.93,4848.4,0.512018,0.487982,AskCI/NBS monthly output table
crude_processing_ton,2007,2644.34,2494.03,5138.37,0.514626,0.485374,AskCI/NBS monthly output table
crude_processing_ton,2008,2844.17,2737.02,5581.19,0.509599,0.490401,AskCI/NBS monthly output table
crude_processing_ton,2009,2576.93,2579.75,5156.68,0.499727,0.500273,AskCI/NBS monthly output table
crude_processing_ton,2010,3370.4,3191.33,6561.73,0.513645,0.486355,AskCI/NBS monthly output table
crude_processing_ton,2011,3718.5,3521.5,7240.0,0.513605,0.486395,AskCI/NBS monthly output table
crude_processing_ton,2012,3967.6,3686.3,7653.9,0.518376,0.481624,AskCI/NBS monthly output table
crude_processing_ton,2014,3860.94,4017.17,7878.11,0.490085,0.509915,AskCI/NBS monthly output table
crude_processing_ton,2015,4294.02,3969.52,8263.54,0.519634,0.480366,AskCI/NBS monthly output table
