中国原油进口月度数据
date,import_volume_10k_tons,import_amount_10k_usd,average_price_usd_per_ton
2013-01-01,2515,1994221.4,792.93
2013-02-01,2078,1668684.2,803.02
2013-03-01,2305,1882659.3,816.77
2013-04-01,2308,1807330.3,783.07
2013-05-01,2395,1792411.4,748.4
2013-06-01,2217,1632828.3,736.5
2013-07-01,2611,1940490.9,743.2
2013-08-01,2143,1641088.9,765.79
2013-09-01,2568,2013953.4,784.25
2013-10-01,2041,1642071.5,804.54
2013-11-01,2356,1843037.5,782.27
2013-12-01,2678,2096086.9,782.71
2014-01-01,2815,2243197.9,796.87
2014-02-01,2305,1807645.4,784.23
2014-03-01,2352,1839713.1,782.19
2014-04-01,2788,2161930.3,775.44
2014-05-01,2608,2005029.9,768.8
2014-06-01,2328,1810271.6,777.61
2014-07-01,2376,1868541,786.42
2014-08-01,2519,1952240.4,775.01
2014-09-01,2758,2051048.9,743.67
2014-10-01,2409,1705096.5,707.8
2014-11-01,2541,1641875,646.15
2014-12-01,3037,1726332.1,568.43
2015-01-01,2798,1306408.3,466.91
2015-02-01,2555,969076.7,379.29
2015-03-01,2681,1086979.2,405.44
2015-04-01,3029,1213261.9,400.55
2015-05-01,2324,997460.7,429.2
2015-06-01,2949,1336632.1,453.25
2015-07-01,3071,1390564.2,452.81
2015-08-01,2659,1134946,426.83
2015-09-01,2795,1028327,367.92
2015-10-01,2635,934172.9,354.52
2015-11-01,2733.76,966691.33,353.61
2015-12-01,3319,1050680.1,316.57
2016-01-01,2669,752620.9,281.99
2016-02-01,3180,737326.3,231.86
2016-03-01,3261,771184.3,236.49
2016-04-01,3258,870569.7,267.21
2016-05-01,3224,940142.9,291.61
2016-06-01,3062,983636.1,321.24
2016-07-01,3107,1061217.3,341.56
2016-08-01,3285,1071423.6,326.16
2016-09-01,3306,1051321.5,318
2016-10-01,2879,940085,326.53
2016-11-01,3235,1121513.6,346.68
2016-12-01,3638,1229788.7,338.04
2017-01-01,3403,1296886.6,381.1
2017-02-01,3178,1249189.9,393.07
2017-03-01,3895,1535754.3,394.29
2017-04-01,3439,1306318.4,379.85
2017-05-01,3720,1413334.7,379.93
2017-06-01,3611,1310854.3,363.02
