month,cpi_yoy,cpi_mom,cpi_transport_yoy,cpi_transport_mom,ppi_yoy,ppi_mom,ppi_fuel_power_yoy
2016-01,1.8,0.5,,,-5.3,-0.5,-10.7
2016-02,2.3,1.6,,,-4.9,-0.3,-10.0
2016-03,2.3,-0.4,,,-4.3,0.5,-10.4
2016-04,2.3,-0.2,,,-3.4,0.7,-9.4
2016-05,2.0,-0.5,,,-2.8,0.5,-8.3
2016-06,1.9,-0.1,,,-2.6,-0.2,-7.2
2016-07,1.8,0.2,,,-1.7,0.2,-6.2
2016-08,1.3,0.1,,,-0.8,0.2,-5.0
2016-09,1.9,0.7,,,0.1,0.5,-1.9
2016-10,2.1,-0.1,,,1.2,0.7,1.8
2016-11,2.3,0.1,,,3.3,1.5,6.0
2016-12,2.1,0.2,,,5.5,1.6,10.1
2017-01,2.5,1.0,,,6.9,0.8,14.7
2017-02,0.8,-0.2,,,7.8,0.6,18.7
2017-03,0.9,-0.3,,,7.6,0.3,19.0
2017-04,1.2,0.1,,,6.4,-0.4,17.6
2017-05,1.5,-0.1,,,5.5,-0.3,15.8
2017-06,1.5,-0.2,,,5.5,-0.2,12.5
2017-07,1.4,0.1,,,5.5,0.2,10.7
2017-08,1.8,0.4,,,6.3,0.9,11.8
2017-09,1.6,0.5,,,6.9,1.0,11.9
2017-10,1.9,0.1,,,6.9,0.7,10.6
2017-11,1.7,0.0,,,5.8,0.5,8.0
2017-12,1.8,0.3,,,4.9,0.8,7.1
2018-01,1.5,0.6,,,4.3,0.3,6.2
2018-02,2.9,1.2,,,3.7,-0.1,6.0
2018-03,2.1,-1.1,,,3.1,-0.2,4.9
2018-04,1.8,-0.2,,,3.4,-0.2,4.6
2018-05,1.8,-0.2,,,4.1,0.4,5.5
2018-06,1.9,-0.1,,,4.7,0.3,8.1
2018-07,2.1,0.3,,,4.6,0.1,9.9
2018-08,2.3,0.7,,,4.1,0.4,9.7
2018-09,2.5,0.7,,,3.6,0.6,9.2
2018-10,2.5,0.2,,,3.3,0.4,9.4
2018-11,2.2,-0.3,,,2.7,-0.2,7.9
2018-12,1.9,0.0,,,0.9,-1.0,3.8
2019-01,1.7,0.5,,,0.1,-0.6,0.3
2019-02,1.5,1.0,,,0.1,-0.1,-0.5
2019-03,2.3,-0.4,,,0.4,0.1,0.7
2019-04,2.5,0.1,,,0.9,0.3,1.6
2019-05,2.7,0.0,,,0.6,0.2,1.4
2019-06,2.7,-0.1,,,0.0,-0.3,-0.2
2019-07,2.8,0.4,,,-0.3,-0.2,-2.1
2019-08,2.8,0.7,,,-0.8,-0.1,-3.2
2019-09,3.0,0.9,,,-1.2,0.1,-4.2
2019-10,3.8,0.9,,,-1.6,0.1,-5.5
2019-11,4.5,0.4,,,-1.4,-0.1,-5.8
2019-12,4.5,0.0,,,-0.5,0.0,-3.3
2020-01,5.4,1.4,,,0.1,0.0,-0.2
2020-02,5.2,0.8,,,-0.4,-0.5,-1.0
2020-03,4.3,-1.2,,,-1.5,-1.0,-4.0
2020-04,3.3,-0.9,,,-3.1,-1.3,-11.4
2020-05,2.4,-0.8,,,-3.7,-0.4,-15.5
2020-06,2.5,-0.1,,,-3.0,0.4,-14.2
2020-07,2.7,0.6,,,-2.4,0.4,-10.8
2020-08,2.4,0.4,,,-2.0,0.3,-9.8
2020-09,1.7,0.2,,,-2.1,0.1,-9.3
2020-10,0.5,-0.3,,,-2.1,0.0,-9.9
2020-11,-0.5,-0.6,,,-1.5,0.5,-8.4
2020-12,0.2,0.7,,,-0.4,1.1,-6.6
2021-01,-0.3,1.0,,,0.3,1.0,-4.8
2021-02,-0.2,0.6,,,1.7,0.8,-1.0
2021-03,0.4,-0.5,,,4.4,1.6,2.7
2021-04,0.9,-0.3,,,6.8,0.9,12.1
2021-05,1.3,-0.2,,,9.0,1.6,20.7
2021-06,1.1,-0.4,,,8.8,0.3,22.8
2021-07,1.0,0.3,,,9.0,0.5,23.3
2021-08,0.8,0.1,,,9.5,0.7,26.2
2021-09,0.7,0.0,,,10.7,1.2,30.3
2021-10,1.5,0.7,,,13.5,2.5,40.7
2021-11,2.3,0.4,,,12.9,0.0,43.8
2021-12,1.5,-0.3,,,10.3,-1.2,35.5
2022-01,0.9,0.4,,,9.1,-0.2,30.0
2022-02,0.9,0.6,,,8.8,0.5,27.6
2022-03,1.5,0.0,,,8.3,1.1,30.9
2022-04,2.1,0.4,,,8.0,0.6,34.8
2022-05,2.1,-0.2,,,6.4,0.1,31.6
2022-06,2.5,0.0,,,6.1,0.0,29.4
2022-07,2.7,0.5,,,4.2,-1.3,25.1
2022-08,2.5,-0.1,,,2.3,-1.2,19.5
2022-09,2.8,0.3,,,0.9,-0.1,14.3
2022-10,2.1,0.1,,,-1.3,0.2,7.3
2022-11,1.6,-0.2,,,-1.3,0.1,4.3
2022-12,1.8,0.0,,,-0.7,-0.5,7.6
2023-01,2.1,0.8,,,-0.8,-0.4,7.2
2023-02,1.0,-0.5,,,-1.4,0.0,5.2
2023-03,0.7,-0.3,,,-2.5,0.0,0.1
2023-04,0.1,-0.1,,,-3.6,-0.5,-5.3
2023-05,0.2,-0.2,,,-4.6,-0.9,-7.6
2023-06,0.0,-0.2,,,-5.4,-0.8,-11.1
2023-07,-0.3,0.2,,,-4.4,-0.2,-12.2
2023-08,0.1,0.3,,,-3.0,0.2,-9.1
2023-09,0.0,0.2,,,-2.5,0.4,-7.0
2023-10,-0.2,-0.1,,,-2.6,0.0,-6.7
2023-11,-0.5,-0.5,,,-3.0,-0.3,-7.4
2023-12,-0.3,0.1,,,-2.7,-0.3,-7.2
