column,row_count,missing_count,missing_pct,numeric_count,numeric_min,numeric_mean,numeric_max
date,329,0,0,0,,,
notice_date,329,0,0,0,,,
gasoline_adjust_cny_per_ton,329,0,0,329,-1015,3.267477,1160
diesel_adjust_cny_per_ton,329,0,0,329,-975,2.24924,1115
beijing_gasoline_ceiling_after_cny_per_ton,329,0,0,329,6765,8790.547112,11615
beijing_diesel_ceiling_after_cny_per_ton,329,0,0,329,5840,7820.942249,10510
notice_title,329,0,0,0,,,
source_url,329,0,0,0,,,
avg_adjust_cny_per_ton,329,0,0,329,-995,2.758359,1137.5
avg_ceiling_after_cny_per_ton,329,0,0,329,6302.5,8305.744681,11062.5
is_adjusted,329,0,0,329,0,0.775076,1
adjust_direction,329,0,0,0,,,
abs_adjust_cny_per_ton,329,0,0,329,0,157.879939,1137.5
month,329,0,0,0,,,
basket_window_avg,329,0,0,329,15.699,71.192973,125.659
basket_window_avg_valid_days,329,0,0,329,10,10,10
basket_window_change,329,1,0.303951,328,-16.176,-0.003101,47.987
basket_window_change_pct,329,1,0.303951,328,-35.639157,0.279642,61.781594
brent_window_avg,329,0,0,329,16.633,72.403632,126.185
brent_window_avg_valid_days,329,0,0,329,10,10,10
brent_window_change,329,1,0.303951,328,-16.063,-0.007418,25.458
brent_window_change_pct,329,1,0.303951,328,-39.814885,0.254972,42.059955
wti_window_avg,329,0,0,329,10.703,67.700052,118.856
wti_window_avg_valid_days,329,0,0,329,10,10,10
wti_window_change,329,1,0.303951,328,-16.868,0.020024,21.841
wti_window_change_pct,329,1,0.303951,328,-54.350422,0.438735,116.219751
brent_wti_avg_window_avg,329,0,0,329,13.668,70.03088,122.3335
brent_wti_avg_window_avg_valid_days,329,0,0,329,10,10,10
brent_wti_avg_window_change,329,1,0.303951,328,-16.349,0.003453,23.6495
brent_wti_avg_window_change_pct,329,1,0.303951,328,-42.488662,0.299943,64.826602
brent_wti_weighted_window_avg,329,0,0,329,14.854,70.974792,123.8013
brent_wti_weighted_window_avg_valid_days,329,0,0,329,10,10,10
brent_wti_weighted_window_change,329,1,0.303951,328,-16.1414,-0.000895,24.3729
brent_wti_weighted_window_change_pct,329,1,0.303951,328,-41.398077,0.274585,52.623536
cpi_yoy_pct,329,1,0.303951,328,-0.8,1.553659,5.4
ppi_yoy_pct,329,1,0.303951,328,-5.9,0.227744,13.5
nbs_manufacturing_pmi,329,1,0.303951,328,35.7,50.217378,52.6
non_manufacturing_pmi,329,1,0.303951,328,29.6,52.853963,58.2
nbs_general_pmi,329,95,28.87538,234,28.9,52.047009,57
import_volume_10k_tons,329,35,10.638298,294,100,3705.760272,8609
import_amount_10k_usd,329,35,10.638298,294,42203,1937774.828435,4218444.2
average_price_usd_per_ton,329,35,10.638298,294,150.72,562.58517,3617.03
__duplicate_notice_date_count__,329,0,,,,,
