month,crude_production_ton,crude_import_ton,crude_export_ton,crude_processing_ton,crude_import_value_usd,crude_import_avg_usd_per_ton,source,assumption_flag
2016-01,,26690000.0,,,7526209000.0,281.986099662795,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-02,,31800000.0,,,7373263000.0,231.86361635220126,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-03,17373400.0,32610000.0,,44905700.0,7711843000.0,236.48705918429928,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-04,16587000.0,32580000.0,,44750000.0,8705697000.0,267.2098526703499,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-05,16871000.0,32240000.0,,44229000.0,9401429000.0,291.6075992555831,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-06,16579000.0,30620000.0,,45075000.0,9836361000.0,321.239745264533,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-07,16723000.0,31070000.0,,45319000.0,10612173000.0,341.5569037656904,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-08,16449000.0,32850000.0,,44276000.0,10714236000.0,326.1563470319635,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-09,15975000.0,33060000.0,,43799000.0,10513215000.0,318.0040834845735,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-10,16051000.0,28790000.0,,47050000.0,9400850000.0,326.5317818687044,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-11,16090000.0,32350000.0,,45774000.0,11215136000.0,346.6811746522411,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2016-12,16772000.0,36380000.0,,47822000.0,12297887000.0,338.0397746014294,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-01,,34030000.0,,,12968866000.0,381.1009697325889,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-02,,31780000.0,,,12491899000.0,393.07422907488984,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-03,16575000.0,38950000.0,,47505000.0,15357543000.0,394.2886521181001,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-04,15990000.0,34390000.0,,44452000.0,13063184000.0,379.85414364640883,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-05,16263000.0,37200000.0,,46621000.0,14133347000.0,379.92868279569893,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-06,16212000.0,36110000.0,,46079000.0,13108543000.0,363.01697590695096,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-07,16249000.0,34740000.0,,45497000.0,11865583000.0,341.5539147956246,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-08,15957000.0,33980000.0,,47122000.0,11766552000.0,346.2787522071807,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-09,15529000.0,37010000.0,,49342000.0,13602554000.0,367.53726019994593,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-10,16006000.0,31030000.0,,50510000.0,12135541000.0,391.09058975185303,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-11,15699000.0,37040000.0,,49429000.0,14133347000.0,381.569843412527,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2017-12,15984000.0,33700000.0,,49111000.0,14927609000.0,442.9557566765579,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-01,,40640000.0,,,18768200000.0,461.8159448818898,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-02,,32260000.0,,,15792200000.0,489.5288282703038,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-03,15956000.0,39170000.0,,51513000.0,18292800000.0,467.0104671942813,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-04,15510000.0,39460000.0,,49584000.0,18670600000.0,473.15255955397873,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-05,15973000.0,39050000.0,,50660000.0,19963700000.0,511.23431498079384,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-06,15846000.0,34350000.0,,49779000.0,18637800000.0,542.5851528384279,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-07,15855000.0,36020000.0,,50750000.0,19342400000.0,536.9905607995559,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-08,15997000.0,38380000.0,,50315000.0,20519100000.0,534.6300156331423,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-09,15176000.0,37210000.0,,51341000.0,19944500000.0,535.9983875302338,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-10,16089000.0,40800000.0,,52784000.0,22939800000.0,562.25,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-11,15534000.0,42870000.0,,50457000.0,24156800000.0,563.4896197807325,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2018-12,16333000.0,43780000.0,,51169000.0,21303600000.0,486.6057560529922,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-01,,42600000.0,,,18678800000.0,438.46948356807513,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-02,,39230000.0,,,17234800000.0,439.3270456283457,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-03,16542000.0,39340000.0,,53037000.0,18563200000.0,471.8657854600915,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-04,15711000.0,43730000.0,,52103000.0,21486500000.0,491.34461468099704,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-05,16230000.0,40230000.0,,51899000.0,21071400000.0,523.7733035048471,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-06,16100000.0,39580000.0,,53695000.0,20173561000.0,509.69077817079335,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-07,16287000.0,41040000.0,,52595000.0,19603669000.0,477.67224658869395,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-08,16182000.0,42170000.0,,54003000.0,19793204000.0,469.3669433246384,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-09,15643000.0,41240000.0,,56486000.0,18546378000.0,449.7181862269641,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-10,16113000.0,45510000.0,,57835000.0,20731412000.0,455.53531092067675,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-11,15704000.0,45740000.0,,56080000.0,20894994000.0,456.82103191954525,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2019-12,16065000.0,45480000.0,,58509000.0,21929200000.0,482.17238346525943,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-01,,,,,,,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-02,,86090000.0,,,42184442000.0,490.00397258682773,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-03,16563000.0,41100000.0,,50037000.0,16738643000.0,407.2662530413625,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-04,15874700.0,40430000.0,,53850000.0,10887905000.0,269.3026218154836,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-05,16456000.0,47970000.0,,57904000.0,9468574000.0,197.38532416093392,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-06,16242000.0,5210000.0,,57872000.0,2739377000.0,525.7921305182342,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-07,16463000.0,51290000.0,,59561000.0,14341352000.0,279.6130239812829,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-08,16651000.0,47480000.0,,59474000.0,14922926000.0,314.299199663016,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-09,16096000.0,1000000.0,,57351000.0,1010198000.0,1010.198,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-10,16412000.0,42560000.0,,59817000.0,13275237000.0,311.91816259398496,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-11,15965000.0,2800000.0,,58350000.0,422030000.0,150.725,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2020-12,16268000.0,38470000.0,,60000000.0,12453600000.0,323.72238107616323,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2021-01,,44590000.0,,,16128347000.0,361.7032294236376,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2021-02,0.0,44980000.0,,0.0,17833656000.0,396.47967985771453,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2021-03,17094000.0,49660000.0,,59791000.0,22678849000.0,456.68242045912206,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2021-04,16407000.0,40360000.0,,57904000.0,18393301000.0,455.730946481665,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2021-05,17028000.0,40950000.0,,60501000.0,20398821000.0,498.139706959707,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
2021-06,16668000.0,40120000.0,,60820000.0,20718896000.0,516.4231306081755,China customs import volume/value local CSV; NBS/AskCI crude output and processing local CSV; crude export unavailable,0
