CPI/PPI 月度数据
date,cpi_yoy_pct,ppi_yoy_pct
2013-01-01,2,-1.6
2013-02-01,3.2,-1.6
2013-03-01,2.1,-1.9
2013-04-01,2.4,-2.6
2013-05-01,2.1,-2.9
2013-06-01,2.7,-2.7
2013-07-01,2.7,-2.3
2013-08-01,2.6,-1.6
2013-09-01,3.1,-1.3
2013-10-01,3,-1.5
2013-11-01,2.8,-1.4
2013-12-01,2.5,-1.4
2014-01-01,2.5,-1.6
2014-02-01,2,-2
2014-03-01,2.4,-2.3
2014-04-01,1.8,-2
2014-05-01,2.5,-1.5
2014-06-01,2.3,-1.1
2014-07-01,2.3,-0.9
2014-08-01,2,-1.2
2014-09-01,1.6,-1.8
2014-10-01,1.6,-2.2
2014-11-01,1.4,-2.7
2014-12-01,1.5,-3.3
2015-01-01,0.8,-4.3
2015-02-01,1.4,-4.8
2015-03-01,1.4,-4.6
2015-04-01,1.5,-4.6
2015-05-01,1.2,-4.6
2015-06-01,1.4,-4.8
2015-07-01,1.6,-5.4
2015-08-01,2,-5.9
2015-09-01,1.6,-5.9
2015-10-01,1.3,-5.9
2015-11-01,1.5,-5.9
2015-12-01,1.6,-5.9
2016-01-01,1.8,-5.3
2016-02-01,2.3,-4.9
2016-03-01,2.3,-4.3
2016-04-01,2.3,-3.4
2016-05-01,2,-2.8
2016-06-01,1.9,-2.6
2016-07-01,1.8,-1.7
2016-08-01,1.3,-0.8
2016-09-01,1.9,0.1
2016-10-01,2.1,1.2
2016-11-01,2.3,3.3
2016-12-01,2.1,5.5
2017-01-01,2.5,6.9
2017-02-01,0.8,7.8
2017-03-01,0.9,7.6
2017-04-01,1.2,6.4
2017-05-01,1.5,5.5
2017-06-01,1.5,5.5
2017-07-01,1.4,5.5
2017-08-01,1.8,6.3
2017-09-01,1.6,6.9
2017-10-01,1.9,6.9
2017-11-01,1.7,5.8
2017-12-01,1.8,4.9
2018-01-01,1.5,4.3
2018-02-01,2.9,3.7
2018-03-01,2.1,3.1
2018-04-01,1.8,3.4
2018-05-01,1.8,4.1
2018-06-01,1.9,4.7
2018-07-01,2.1,4.6
2018-08-01,2.3,4.1
2018-09-01,2.5,3.6
2018-10-01,2.5,3.3
2018-11-01,2.2,2.7
2018-12-01,1.9,0.9
2019-01-01,1.7,0.1
2019-02-01,1.5,0.1
2019-03-01,2.3,0.4
2019-04-01,2.5,0.9
2019-05-01,2.7,0.6
2019-06-01,2.7,0
2019-07-01,2.8,-0.3
2019-08-01,2.8,-0.8
2019-09-01,3,-1.2
2019-10-01,3.8,-1.6
2019-11-01,4.5,-1.4
2019-12-01,4.5,-0.5
2020-01-01,5.4,0.1
2020-02-01,5.2,-0.4
2020-03-01,4.3,-1.5
2020-04-01,3.3,-3.1
2020-05-01,2.4,-3.7
2020-06-01,2.5,-3
2020-07-01,2.7,-2.4
2020-08-01,2.4,-2
2020-09-01,1.7,-2.1
2020-10-01,0.5,-2.1
2020-11-01,-0.5,-1.5
2020-12-01,0.2,-0.4
2021-01-01,-0.3,0.3
2021-02-01,-0.2,1.7
2021-03-01,0.4,4.4
2021-04-01,0.9,6.8
2021-05-01,1.3,9
2021-06-01,1.1,8.8
2021-07-01,1,9
2021-08-01,0.8,9.5
2021-09-01,0.7,10.7
2021-10-01,1.5,13.5
2021-11-01,2.3,12.9
2021-12-01,1.5,10.3
2022-01-01,0.9,9.1
2022-02-01,0.9,8.8
2022-03-01,1.5,8.3
2022-04-01,2.1,8
2022-05-01,2.1,6.4
2022-06-01,2.5,6.1
2022-07-01,2.7,4.2
2022-08-01,2.5,2.3
2022-09-01,2.8,0.9
2022-10-01,2.1,-1.3
2022-11-01,1.6,-1.3
2022-12-01,1.8,-0.7
2023-01-01,2.1,-0.8
2023-02-01,1,-1.4
2023-03-01,0.7,-2.5
2023-04-01,0.1,-3.6
2023-05-01,0.2,-4.6
2023-06-01,0,-5.4
2023-07-01,-0.3,-4.4
2023-08-01,0.1,-3
2023-09-01,0,-2.5
2023-10-01,-0.2,-2.6
2023-11-01,-0.5,-3
2023-12-01,-0.3,-2.7
2024-01-01,-0.8,-2.5
2024-02-01,0.7,-2.7
2024-03-01,0.1,-2.8
2024-04-01,0.3,-2.5
2024-05-01,0.3,-1.4
2024-06-01,0.2,-0.8
2024-07-01,0.5,-0.8
2024-08-01,0.6,-1.8
2024-09-01,0.4,-2.8
2024-10-01,0.3,-2.9
2024-11-01,0.2,-2.5
2024-12-01,0.1,-2.3
2025-01-01,0.5,-2.3
2025-02-01,-0.7,-2.2
2025-03-01,-0.1,-2.5
2025-04-01,-0.1,-2.7
2025-05-01,-0.1,-3.3
2025-06-01,0.1,-3.6
2025-07-01,0,-3.6
2025-08-01,-0.4,-2.9
2025-09-01,-0.3,-2.3
2025-10-01,0.2,-2.1
2025-11-01,0.7,-2.2
2025-12-01,0.8,-1.9
2026-01-01,0.2,-1.4
2026-02-01,1.3,-0.9
2026-03-01,1,0.5
2026-04-01,1.2,2.8
