data,汇率
2010-01-01,6.8259
2010-01-02,6.8259
2010-01-03,6.8259
2010-01-04,6.8273
2010-01-05,6.8258
2010-01-06,6.8272
2010-01-07,6.8280
2010-01-08,6.8274
2010-01-09,6.8274
2010-01-10,6.8274
2010-01-11,6.8263
2010-01-12,6.8267
2010-01-13,6.8295
2010-01-14,6.8265
2010-01-15,6.8269
2010-01-16,6.8269
2010-01-17,6.8269
2010-01-18,6.8269
2010-01-19,6.8268
2010-01-20,6.8258
2010-01-21,6.8268
2010-01-22,6.8270
2010-01-23,6.8270
2010-01-24,6.8270
2010-01-25,6.8268
2010-01-26,6.8263
2010-01-27,6.8268
2010-01-28,6.8267
2010-01-29,6.8268
2010-01-30,6.8268
2010-01-31,6.8268
2010-02-01,6.8260
2010-02-02,6.8270
2010-02-03,6.8260
2010-02-04,6.8280
2010-02-05,6.8275
2010-02-06,6.8275
2010-02-07,6.8275
2010-02-08,6.8265
2010-02-09,6.8267
2010-02-10,6.8280
2010-02-11,6.8328
2010-02-12,6.8326
2010-02-13,6.8326
2010-02-14,6.8326
2010-02-15,6.8326
2010-02-16,6.8326
2010-02-17,6.8326
2010-02-18,6.8330
2010-02-19,6.8290
2010-02-20,6.8290
2010-02-21,6.8290
2010-02-22,6.8264
2010-02-23,6.8267
2010-02-24,6.8269
2010-02-25,6.8267
2010-02-26,6.8258
2010-02-27,6.8258
2010-02-28,6.8258
2010-03-01,6.8263
2010-03-02,6.8265
2010-03-03,6.8258
2010-03-04,6.8258
2010-03-05,6.8260
2010-03-06,6.8260
2010-03-07,6.8260
2010-03-08,6.8261
2010-03-09,6.8263
2010-03-10,6.8259
2010-03-11,6.8266
2010-03-12,6.8254
2010-03-13,6.8254
2010-03-14,6.8254
2010-03-15,6.8259
2010-03-16,6.8257
2010-03-17,6.8259
2010-03-18,6.8261
2010-03-19,6.8265
2010-03-20,6.8265
2010-03-21,6.8265
2010-03-22,6.8266
2010-03-23,6.8263
2010-03-24,6.8266
2010-03-25,6.8270
2010-03-26,6.8269
2010-03-27,6.8269
2010-03-28,6.8269
2010-03-29,6.8264
2010-03-30,6.8258
2010-03-31,6.8258
2010-04-01,6.8263
2010-04-02,6.8255
2010-04-03,6.8255
2010-04-04,6.8255
2010-04-05,6.8256
2010-04-06,6.8250
2010-04-07,6.8254
2010-04-08,6.8240
2010-04-09,6.8229
2010-04-10,6.8229
2010-04-11,6.8229
2010-04-12,6.8252
2010-04-13,6.8255
2010-04-14,6.8258
2010-04-15,6.8260
2010-04-16,6.8253
2010-04-17,6.8253
2010-04-18,6.8253
2010-04-19,6.8262
2010-04-20,6.8253
2010-04-21,6.8275
2010-04-22,6.8263
2010-04-23,6.8270
2010-04-24,6.8270
2010-04-25,6.8270
2010-04-26,6.8266
2010-04-27,6.8256
2010-04-28,6.8245
2010-04-29,6.8259
2010-04-30,6.8247
2010-05-01,6.8247
2010-05-02,6.8247
2010-05-03,6.8245
2010-05-04,6.8260
2010-05-05,6.8263
2010-05-06,6.8265
2010-05-07,6.8254
2010-05-08,6.8254
