month,crude_import_ton,crude_import_value_usd,crude_output_ton,crude_processing_ton
2016-01,26690000,7526209000,17821200（拟合）,44524900（拟合）
2016-02,31800000,7373263000,16286400（拟合）,42551800（拟合）
2016-03,32610000,7711843000,17373400,44905700
2016-04,32580000,8705697000,16587000,44750000
2016-05,32240000,9401429000,16871000,44229000
2016-06,30620000,9836361000,16579000,45075000
2016-07,31070000,10612173000,16723000,45319000
2016-08,32850000,10714236000,16449000,44276000
2016-09,33060000,10513215000,15975000,43799000
2016-10,28790000,9400850000,16051000,47050000
2016-11,32350000,11215136000,16090000,45774000
2016-12,36380000,12297887000,16772000,47822000
2017-01,34030000,12968866000,16429500（拟合）,46410900（拟合）
2017-02,31780000,12491899000,15014500（拟合）,44354100（拟合）
2017-03,38950000,15357543000,16575000,47505000
2017-04,34390000,13063184000,15990000,44452000
2017-05,37200000,14133347000,16263000,46621000
2017-06,36110000,13108543000,16212000,46079000
2017-07,34740000,11865583000,16249000,45497000
2017-08,33980000,11766552000,15957000,47122000
2017-09,37010000,13602554000,15529000,49342000
2017-10,31030000,12135541000,16006000,50510000
2017-11,37040000,14133347000,15699000,49429000
2017-12,33700000,14927609000,15984000,49111000
2018-01,40640000,18768200000,15870900（拟合）,47760300（拟合）
2018-02,32260000,15792200000,14504100（拟合）,45643700（拟合）
2018-03,39170000,18292800000,15956000,51513000
2018-04,39460000,18670600000,15510000,49584000
2018-05,39050000,19963700000,15973000,50660000
2018-06,34350000,18637800000,15846000,49779000
2018-07,36020000,19342400000,15855000,50750000
2018-08,38380000,20519100000,15997000,50315000
2018-09,37210000,19944500000,15176000,51341000
2018-10,40800000,22939800000,16089000,52784000
2018-11,42870000,24156800000,15534000,50457000
2018-12,43780000,21303600000,16333000,51169000
2019-01,42600000,18678800000,16036600（拟合）,52406200（拟合）
2019-02,39230000,17234800000,14655400（拟合）,50083800（拟合）
2019-03,39340000,18563200000,16542000,53037000
2019-04,43730000,21486500000,15711000,52103000
2019-05,40230000,21071400000,16230000,51899000
2019-06,39580000,20173561000,16100000,53695000
2019-07,41040000,19603669000,16287000,52595000
2019-08,42170000,19793204000,16182000,54003000
2019-09,41240000,18546378000,15643000,56486000
2019-10,45510000,20731412000,16113000,57835000
2019-11,45740000,20894994000,15704000,56080000
2019-12,45480000,21929200000,16065000,58509000
2020-01,,,16721000（拟合）,50720900（拟合）
2020-02,86090000,42184442000,15281000（拟合）,48473100（拟合）
2020-03,41100000,16738643000,16563000,50037000
2020-04,40430000,10887905000,15874700,53850000
2020-05,47970000,9468574000,16456000,57904000
2020-06,5210000,2739377000,16242000,57872000
2020-07,51290000,14341352000,16463000,59561000
2020-08,47480000,14922926000,16651000,59474000
2020-09,1000000,1010198000,16096000,57351000
2020-10,42560000,13275237000,16412000,59817000
2020-11,2800000,422030000,15965000,58350000
2020-12,38470000,12453600000,16268000,60000000
2021-01,44590000,16128347000,16762800（拟合）,58415400（拟合）
2021-02,44980000,17833656000,15319200（拟合）,55826600（拟合）
2021-03,49660000,22678849000,17094000,59791000
2021-04,40360000,18393301000,16407000,57904000
2021-05,40950000,20398821000,17028000,60501000
2021-06,40120000,20718896000,16668000,60820000
2021-07,41170000,22086762000,16872000,59056000
2021-08,44530000,24272519000,17028000,58345000
2021-09,41040000,21958769000,16610000,56072000
2021-10,37660000,20988613000,16826000,58399000
2021-11,41780000,24964338000,16311000,59643000
2021-12,46140000,26908286000,16468000,58732000
2022-01,48800000,27957581000,17490200（拟合）,57787500（拟合）
2022-02,36340000,22715786000,15983800（拟合）,55226500（拟合）
2022-03,42710000,30216853000,17713000,58585000
2022-04,43030000,34225627000,16996000,51810000
2022-05,45830000,35228590000,17567000,53917000
2022-06,35820000,28591402000,17195000,54939000
2022-07,37330000,30177133000,17126000,53210000
2022-08,40350000,30506004000,16941000,53659000
2022-09,40240000,28841925000,16809000,56807000
2022-10,43140000,29843581000,17222000,58616000
2022-11,46740000,31585999000,16783000,59612000
2022-12,48070000,30731777000,16869000,59879000
2023-01,43330000,25719541000,17855900（拟合）,59348600（拟合）
2023-02,40740000,23798091000,16318100（拟合）,56718400（拟合）
2023-03,52310000,30429611000,18183000,63291000
2023-04,42410000,24465029000,17277000,61136000
2023-05,51440000,30302574000,18074000,62002000
2023-06,52060000,28185714000,17525000,60955000
2023-07,43690000,23904467000,17313000,63133000
2023-08,52800000,30643326000,17471000,64694000
2023-09,45740000,28831654000,16872000,63621000
2023-10,48970000,32353560000,17325000,63927000
2023-11,42450000,27558314000,17201000,59535000
2023-12,48360000,29341623000,17647000,60115000
2024-01,44170000,25595884000,18344400（拟合）,60723000（拟合）
2024-02,42680000,25692752000,16764600（拟合）,58032000（拟合）
2024-03,49050000,29379696000,18371000,63776000
2024-04,44720000,27919491000,17467000,58788000
2024-05,46970000,29722914000,18147000,60517000
2024-06,46450000,28239600000,17946000,58318000
2024-07,42340000,25784596000,17901000,59062000
2024-08,49100000,29362689000,17835000,59069000
2024-09,45490000,25734732000,17071000,58727000
2024-10,44700000,24300929000,17768000,59538000
2024-11,48520000,26275082000,17248000,58512000
2024-12,49230000,26789635000,17902000,59355000
2025-01,41160000,22379079000,18307300（拟合）,60934700（拟合）
2025-02,42690000,24142088000,16730700（拟合）,58234300（拟合）
2025-03,51410000,28293687000,19025000,63058000
2025-04,48060000,25280350000,17724000,58034000
2025-05,46600000,23145244000,18469000,59111000
2025-06,49890000,24208656000,18198000,62245000
2025-07,47200000,23868482000,18124000,63064000
2025-08,49180000,25192902000,18256000,63465000
